domain,total,M,F,18-24,25-34,35-44,45-54,>=55
imperiapallet.ru,3,3,0,3,0,0,0,0
mircvetovoda.ru,1,1,0,0,0,1,0,0
topstatus.ucoz.ru,1,0,1,0,1,0,0,0
allreferat.org.ua,3,2,1,1,2,0,0,0
cc.bingj.com,1,1,0,0,0,1,0,0
future-lancer.ru,2,2,0,0,2,0,0,0
mag-fish.ru,1,1,0,0,1,0,0,0
moms-crochet.com,7,0,7,0,0,0,0,7
oootdl.narod.ru,2,0,2,0,0,2,0,0
radiochast.ru,1,0,1,1,0,0,0,0
soccerlivehd.com,25,20,4,1,11,7,1,4
ngzt.ru,10,5,5,3,5,1,1,0
my-fgxpress.com,2,2,0,0,0,2,0,0
slotinfo.narod.ru,4,4,0,0,0,4,0,0
mtggoldfish.com,12,12,0,0,12,0,0,0
afishagoroda.ru,4,1,3,0,4,0,0,0
chesnok77.ru,2,0,2,0,2,0,0,0
streamcloud.eu,32,32,0,2,22,8,0,0
baza-referat.ru,5,1,4,0,1,4,0,0
ridjeygroup.narod.ru,2,2,0,0,0,2,0,0
statysi.net,1,1,0,0,0,1,0,0
white55.narod.ru,6,5,1,0,3,3,0,0
ru.dotabuff.com,28,28,0,28,0,0,0,0
anliz.ru,1,0,1,0,0,1,0,0
safecomcompany.ru,2,2,0,0,0,1,1,0
42.domstor.ru,20,0,20,0,20,0,0,0
omskinform.ru,95,42,30,1,54,16,1,0
on-thailand.ru,1,0,1,0,0,1,0,0
kiliya.info,3,3,0,3,0,0,0,0
ermilova-decor.ru,6,0,6,0,0,2,4,0
kolpino.rujazi.com,1,0,1,0,1,0,0,0
modnaya-dama.ru,2,1,1,0,0,0,0,2
stremynka.ru,8,6,2,0,5,2,1,0
ac-el.ru,18,18,0,0,3,0,15,0
ussr-coins.ru,19,4,12,2,0,13,1,0
xn-----elcboab4edffegp4ej.xn--p1ai,1,0,1,0,1,0,0,0
dumpert.nl,1,1,0,1,0,0,0,0
kinozal-lai.ru,7,5,2,0,2,5,0,0
piterzavtra.ru,1,0,1,0,0,1,0,0
motor-kpp.ms,5,0,5,0,5,0,0,0
vassacoshop.ru,7,2,3,0,1,2,2,0
transferfactors.com.ua,6,1,5,0,0,5,1,0
passport.ngs.ru,4,4,0,0,0,4,0,0
gammasveta.ru,238,220,10,7,177,2,44,0
dove.ru,10,0,10,0,9,0,0,1
