uid	probability
bd7a30e1-a25d-4cbf-a03f-61748cbe540e	0.9967394955
bd7a6f52-45db-49bf-90f2-a3b07a9b7bcd	0.1506744392
bd7a7fd9-ab06-42f5-bf0f-1cbb0463004c	0.503204201
bd7c5d7a-0def-41d1-895f-fdb96c56c2d4	0.8351308838
bd7e54a2-0215-45cb-a869-9efebf250e38	0.6403641464
bd7e9797-4cdb-46e1-a540-f3ea010605ad	0.4753213991
bd7e9ec7-fb67-45eb-8ad3-209d01d15ae6	0.4753213991
bd8056df-cc25-4b63-bc12-a46f888baa49	0.4753213991
bd818690-73d2-445d-be5d-5c8f748dbb19	0.4753213991
bd81e006-f059-4cdd-b716-3467c78d1312	0.4753213991
bd81e64a-bfa3-4147-b094-e3d248c44e9a	0.4753213991
bd82fee4-afb3-4085-a5da-9bce2b5523ef	0.3437550755
bd83400b-abe2-42fd-b73a-4edb886fb036	0.4710729236
bd843c8c-dbba-4ecb-b5e8-45ba8c31584e	0.4753213991
bd86d250-a6ee-41fe-af7e-c972fd438b70	0.7585755092
bd889738-93b2-4025-bd5f-e92e61d64cba	0.6617015561
bd88fac5-3211-4393-9b75-d688e7d71880	0.7699537569
bd89a20f-a7af-4626-9e1d-13df9cadbf44	0.5605441181
bd8c2ee4-9c45-46df-8b3b-b555ee02e5dd	0.2844441807
bd8f08a1-d845-4cb4-ab61-ad934a36aa0b	0.5704972297
bd8f3af4-3e15-4cc3-b621-2e2d90fc71c3	0.6478441208
bd9095f8-2413-4880-8582-0aa1d44ede3c	0.3212254212
bd90a2a3-c49a-4d8c-91ca-7524a1f1c44d	0.658181228
bd918e32-87c9-4da0-bdfb-b64519148c81	0.4753213991
bd924403-c21c-4ac2-a4bb-8c4b5cf9a3c0	0.1924139287
bd932b45-5885-4b15-8ab4-1759acdd8445	0.4753213991
bd9377c2-29d8-4470-8cfa-30738c0bfcf4	0.503204201
bd954c4f-69b8-4f16-9d55-7065fd035c40	0.4753213991
bd966270-c711-47e2-a7c5-edf148e62a3e	0.4635991978
bd9778f1-e2dc-4630-b449-1d7265cb5e41	0.4361717685
bd97b298-6f8f-4b0f-ba8d-76ddfb8b874e	0.9454831028
bd9921b9-a0c9-4b43-a980-2b0f5257c8cf	0.4405710462
bd99fe98-e446-4495-a107-8e97d41ee9e3	0.4753213991
bd9a7bbf-bb9b-4f12-80e5-cf11ad4c4442	0.760752651
bd9aec1b-a5f3-4b2c-98c0-21b2c789abdd	0.8147946571
bd9bea1e-b8c1-4931-8d98-db685f5e6c17	0.4592422438
bd9d182d-1879-4e84-a09b-34ed5155d7ea	0.4826480495
bd9d9386-a2b9-4bd0-83f2-e371924b9022	0.4753213991
bd9df637-3a36-4fbe-ace5-bad19a963f3d	0.4160646385
bd9efe3a-8070-4b56-a22b-8163ae0d3b30	0.4753213991
bd9fbfe1-598b-46dd-95f7-d2e42f6323ff	0.8132329993
bda10b64-a269-4c8f-a8fa-e2a7bb6189d5	0.4753213991
bda19588-b531-4664-a62a-8f2e222dc9c0	0.4753213991
bda1d504-87c3-4cf7-8ea8-325f60288918	0.4890264379
bda341e6-e50d-4c56-8b0f-1cbf88f54a3e	0.6314930918
bda46608-3a8d-4547-b9ce-cb1b7da1bcd3	0.4708166714
bda499d6-aa1a-4d59-905a-25d34771602a	0.2208584313
bda4ff0e-e8ee-41c4-927c-b83104e8b084	0.3954607167
bda58657-26c9-4be8-a827-13db5a40637d	0.621141801
bda5907e-c2f0-4f5e-b7f8-3d78e0889ac3	0.218076117
bda595b6-2e8c-4807-b2a9-54b6ac0df4f1	0.6545219767
bda5deb9-db86-44c8-807a-e2259e4f487d	0.3402336582
bda6f49e-5459-4a6a-a668-16f711507490	0.7455095833
bda74496-295d-4924-8185-4f99c91e3349	0.0444794209
bda8be2f-c4ff-4be5-b41c-b02fb59a69bc	0.9608083858
bda8bf33-11bd-43e8-8949-08cbe1e007f0	0.2693973827
bdac5e9b-8a2d-4aa1-a933-5eb6fadbc608	0.1655332624
bdadbe81-00d4-410c-a0fd-e2c5beb375f1	0.4753213991
bdae9068-92ed-434a-a0ed-f2afb183a02f	0.3536910948
bdaf6318-3a9e-4261-a601-5f4da119c111	0.1581508685
bdaf6c83-6191-4e5d-a38d-08e5891f40bf	0.1991279263
bdafa72c-5dac-4f05-95d0-ee9387763170	0.7833705911
bdafb0e4-4a5c-494b-818f-6a088811f315	0.2661459111
bdb0744c-076c-4cb4-a5ed-a061b412c368	0.9973236434
bdb1285f-0e02-4c1c-b352-7d976574095a	0.4753213991
bdb22a35-df13-4a3d-ab4b-c7ea29718c1b	0.3696282785
bdb23f8e-288c-49de-97be-e328a68a2dd9	0.7633437841
bdb28fab-318b-4528-947b-323bbd0da74e	0.4753213991
bdb2df89-4bcd-410f-8388-e18af8bfc6a4	0.5573968483
bdb38c7c-0b8c-49da-bf54-2f44530fb577	0.5773367086
bdb3f69d-61fb-41db-92d5-19f579c29921	0.2382351782
bdb52d97-c281-4fc0-9868-615c72b57eb0	0.2520677333
bdb7073b-ad2a-4405-b4b8-ff845ee3b6fb	0.4753213991
bdb7dc81-6d7b-490e-b2a9-6869b7f4d17a	0.1995093855
bdb84069-b1d1-48f1-b56f-28b92b13a792	0.3336709667
bdb8eb14-9a14-4e0a-8658-cf50a47125e7	0.2767410706
bdbae650-3bcd-48f2-8c57-073adb0f33f1	0.5410614387
bdbb4a6a-05a3-4d4a-9ae4-c507477d63fa	0.8275116628
bdbba7b1-f0a0-43ad-8468-0cef596573a6	0.1844644752
bdbd2c4e-4c7a-4b6f-b030-8b60dcac8b25	0.6180987143
bdbee690-8b15-4568-b9cc-14e663f23164	0.9075503902
bdbffd74-0a0c-4f44-a715-878ef1b5a978	0.4962221541
bdc075db-52fc-45c8-8548-669ff9ecabbd	0.2752890713
bdc091bd-de39-4e02-91a1-b8da08843523	0.427897398
bdc34323-c6a4-4bc1-8b5c-a0e17ee0ffd3	0.7788239545
bdc39429-58d5-4d47-bec3-719a62941271	0.9937142317
bdc3ca57-e106-4779-9b65-a0c97d6e5973	0.908739829
bdc4babd-510d-4f8f-851e-03ebd968d450	0.3315729601
bdc7c51b-1e80-4df9-85cd-462aceac9cb3	0.9092887604
bdc7f7e4-ccc8-4a45-baa2-058899667715	0.8349612977
bdc88d0c-40f8-46d3-bfbc-e5f734a4656b	0.3067491337
bdc991ea-b336-4c7b-87dc-9a856d62b112	0.5806338962
bdcb0c45-e6f4-4ec6-b401-c5ee69089370	0.3986998105
bdcb2bf9-032f-4fed-b3f5-5841324f3191	0.3116000211
bdcd061a-a864-4594-83f4-978da06e1ce3	0.5318412647
bdce826a-178b-4e6d-9333-8a53cd9e76e6	0.3802896326
bdcec1db-5bce-4f0a-999e-e88c96e896d4	0.6332752032
bdcfa3c0-8f70-4f37-ad4c-05c02b475e14	0.4215396841
bdcfd5d3-4d0e-4664-a53c-443b516d6dc8	0.6499885977
bdd018e3-7c46-486c-b3ef-acba2599598f	0.6631597838
bdd34815-6400-422f-ae6c-c813dbda27e0	0.4753213991
bdd48781-8243-493d-8ae6-794050a4417f	0.288834003
bdd529fd-37cf-4879-a40f-d3bc06626fe3	0.3409218265
bdd70096-e36f-485e-bb14-27ce4b5ef927	0.4753213991
bdd71984-7ad3-4456-a5e5-50838563610c	0.4871617663
bdd7db1e-b616-4ec4-8c59-c6c9b840ea0a	0.4753213991
bdd89912-dc33-4cfa-8910-6d7c005f844b	0.4753213991
bddc9a0f-b1de-463c-b3b4-376091e70ccf	0.7351200776
bddcfc83-f7e9-4496-b37c-234532d2aefa	0.4630220861
bdde4a01-f1f2-412f-b339-7eccb02da42e	0.4753213991
bde2e516-0bd9-4a7c-b256-74bf1b913218	0.5370753099
bde319c6-d1ad-4305-ba18-2f77bf77c544	0.6821633501
bde499a6-44cb-4983-9969-3316f209c537	0.4570586304
bde62042-0c2e-4970-9694-295c6eb15122	0.9018138123
bde673d6-cfe3-424f-8037-2f5d90389cbf	0.3994980811
bde7ade7-b37a-4c74-86a2-ae66b6eb24cf	0.7743153897
bde84451-dbcb-41d0-bf8f-ab901a061926	0.5605441181
bdea599f-7803-4a9f-9edb-8f09909bcd7f	0.4630220861
bdeb7c88-1987-4ee3-9443-b17ec6554f73	0.4888641773
bdece441-006e-423c-b826-1272f5773dbf	0.6290753249
bdf05d9e-0c19-45f7-871b-fe4277e662a2	0.8866457621
bdf07e4e-4b9e-4cc6-be25-b589d5358890	0.908597797
bdf10cc1-cc76-437b-b62a-3d282eda2eea	0.8894150032
